task_id,category,difficulty,condition,trial,correctness,completeness,quality,verification,latency_seconds,execution_cost_usd,judge_cost_usd,total_cost_usd,subtask_count,reassignments,reasoning
R1,research,easy,naive,1,0,0,0,FAIL,0.09,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R1,research,easy,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R1,research,easy,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R1,research,easy,delegato,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R1,research,easy,delegato,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R1,research,easy,delegato,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R2,research,easy,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R2,research,easy,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R2,research,easy,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R2,research,easy,delegato,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R2,research,easy,delegato,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R2,research,easy,delegato,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R3,research,easy,naive,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R3,research,easy,naive,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R3,research,easy,naive,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R3,research,easy,delegato,1,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R3,research,easy,delegato,2,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
R3,research,easy,delegato,3,0,0,0,FAIL,0.01,0.0,0.0,0.0,1,0,Judge error: litellm.AuthenticationError: Missing Anthropic API Key - A call is being made to anthropic but no key is set either in the environment variables or via params. Please set `ANTHROPIC_API_KEY` in your environment vars
